Morphology_R,Morphology_H,Frequency,type,finalCC
ilk,읽,7526,VV,lk
cvlm,젊,4094,VA,lm
ilh,잃,3507,VV,lh
nvlp,넓,2652,VA,lp
Jalp,짧,2400,VA,lp
silh,싫,2389,VA,lh
olh,옳,2014,VA,lh
palk,밝,1938,VA,lk
pulk,붉,1824,VA,lk
nxlk,늙,1631,VV,lk
malk,맑,1605,VA,lk
palp,밟,1323,VV,lp
nalk,낡,1142,VA,lk
alh,앓,1030,VV,lh
talm,닮,972,VV,lm
dulh,뚫,889,VV,lh
kulk,굵,811,VA,lk
kulm,굶,539,VV,lm
yalp,얇,457,VA,lp
gxlh,끓,443,VV,lh
Pok.nvlp,폭넓,405,VA,lp
gulh,꿇,400,VV,lh
kxlk,긁,397,VV,lk
salm,삶,376,VV,lm
xlP,읊,283,VV,lP
halT,핥,269,VV,lT
gwe.dulh,꿰뚫,264,VV,lh
yvlp,엷,256,VA,lp
hulT,훑,252,VV,lT
palk,밝,224,VV,lk
talh,닳,205,VV,lh
cis.palp,짓밟,201,VV,lp
txl.gxlh,들끓,182,VV,lh
tx.nvlp,드넓,112,VA,lp
kvm.pulk,검붉,101,VA,lk
vlk,얽,101,VV,lk
mulk,묽,87,VA,lk
he.malk,해맑,76,VA,lk
olm,옮,73,VV,lm
kolm,곪,63,VV,lm
dvlp,떫,36,VA,lp
be.talm,빼닮,28,VV,lm
kalk,갉,27,VV,lk
svlp,섧,24,VA,lp
kolh,곯,24,VV,lh
e.gxlh,애끓,17,VV,lh
kolh,곯,17,VV,lh
kvT.halT,겉핥,15,VV,lT
e.talp,애닯,13,VA,lp
nvlp.ti.nvlp,넓디넓,10,VA,lp
olk,옭,9,VV,lk
vlk,얽,9,VV,lk
twi.gxlh,뒤끓,8,VV,lh
ku.wv.salm,구워삶,7,VV,lm
kvT.nxlk,겉늙,7,VV,lk
twe.palp,되밟,6,VV,lp
pulk.ti.pulk,붉디붉,4,VA,lk
ne.li.hulT,내리훑,4,VV,lT
kolh,곯,4,VV,lh
dxt.v.ilk,뜯어읽,4,VV,lk
pe.kolh,배곯,4,VV,lh
twi.palp,뒤밟,3,VV,lp
kolh,곯,3,VV,lh
kop.salm,곱삶,3,VV,lm
ciT.pulk,짙붉,2,VA,lk
ka.yvlp,가엷,2,VA,lp
yvn.pulk,연붉,2,VA,lk
yalp.ti.yalp,얇디얇,2,VA,lp
malk.ti.malk,맑디맑,2,VA,lk
kulh,굻,2,VV,lh
twe.ilk,되읽,2,VV,lk
svl.salm,설삶,2,VV,lm
cilm,짊,2,VV,lm
Ci.hulT,치훑,2,VV,lT
hxy.malk,희맑,1,VA,lk
bi.dulh,삐뚫,1,VA,lh
yvlp.pulk,엷붉,1,VA,lk
kolh,곯,1,VV,lh
pulk,붉,1,VV,lk
cic.palp,짖밟,1,VV,lp
twi.hulT,뒤훑,1,VV,lT
kalk,갉,1,VV,lk
nalk,낡,1,VV,lk
ge.talh,깨닳,1,VV,lh
alk,앍,1,VV,lk
twi.vlk,뒤얽,1,VV,lk
