Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
bopkeSta,,,bokgetda,C+Obstruent,p-k,kg,,,NA,NA,0,0,yes,
vpskeSvyo,,,vpgeSvyv,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vpski,,,vpki,C+Obstruent,ps-k,pk,,,NA,NA,1,0,no,
vpsta,,,vpta,C+Obstruent,ps-k,pt,,,NA,NA,1,0,no,
vpsta,,,vpda,C+Obstruent,ps-k,pd,,,NA,NA,1,0,yes,
vpsta,,,vtda,C+Obstruent,ps-k,td,,,NA,NA,1,0,yes,
vpsta,,,vpTa,C+Obstruent,ps-k,pT,,,NA,NA,1,0,no,
vpscyo,,,vpJyv,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vpsci,,,vpCi,C+Obstruent,ps-c,pC,,,NA,NA,1,0,no,
vpsko,,,vpgo,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vpskuna,,,vpguna,C+Obstruent,ps-k,pg,,,NA,NA,1,0,yes,
vpsta,,,vpda,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vpsta,,,vpda,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vpste,,,vpde,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vpste,,,vpde,C+Obstruent,ps-t,pd,,,NA,NA,1,0,yes,
vpscanha,,,vpJana,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vpsci,,,vpJi,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
vpsci,,,vpJi,C+Obstruent,ps-c,pJ,,,NA,NA,1,0,yes,
Jicci,,,JiCi,C+Obstruent,c-c,C,,,NA,NA,1,0,no,
gocca,,,goCa,C+Obstruent,c-c,C,,,NA,NA,1,0,no,
Jicci,,,JitJi,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
gocca,,,gotJa,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
gocci,,,gotJi,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
macciman,,,matJiman,C+Obstruent,c-c,tJ,,,NA,NA,0,0,yes,
kacko,,,kakKu,C+Obstruent,c-k,kK,,,NA,NA,0,0,no,
kacko,,,ago,C+Obstruent,c-k,g,,,NA,NA,1,0,yes,
