Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kulk-kelako,굵게라고,굴께라고,kul.ge.la.ko,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kulk-ko,굵고,굴꼬,kul.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kulk-cikhako,굵직하고,굴찍하고,kul.Jik.ha.ko,lk-c,lJ,1,0,NA,NA,1,lC+Obstruen
kulm-konxn,굶고는,굶꼬는,kulm.go.nxn,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-ko,굶고,굼꾸,kum.gu,lm-k,mg,0,1,NA,NA,1,lC+Obstruen
kulm-txnka,굶든가,굼던가,kum.tvn.ka,lm-t,mt,0,1,NA,NA,0,lC+Obstruen
kxlk-ko,긁고,극꼬,kxk.go,lk-k,kg,0,1,NA,NA,1,lC+Obstruen
kxlk-kvna,긁거나,글꺼나,kxl.gv.na,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kxlk-ko,긁고,글꼬,kxl.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
kxlk-kil,긁길,글킬,kxl.Kil,lk-k,lK,1,0,NA,NA,0,lC+Obstruen
kxlk-ko,긁고,끌꼬,gxl.go,lk-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널고,nvl.ko,lp-k,lk,1,0,NA,NA,0,lC+Obstruen
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
nvlp-ko,넓고,널꾸,nvl.gu,lp-k,lg,1,0,NA,NA,1,lC+Obstruen
