Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
Jalp-a,짧아,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-acici,짧아지지,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-aciko,짧아지고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,5
Jalp-aciniga,짧아지니까,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,3
Jalp-acinxn,짧아지는,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,3
Jalp-acinxnteyo,짧아지는데요,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acin,짧아진,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-acintanxn,짧아진다는,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acintatxnci,짧아진다든지,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyv,짧아져,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyvkaciko,짧아져가지고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-acyvsv,짧아져서,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-acyvSkunalanxn,짧아졌구나라는,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyvSnxnte,짧아졌는데,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyvSta,짧아졌다,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyvStako,짧아졌다고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-acyvStanxn,짧아졌다는,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-acyvSxmyvn,짧아졌으면,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-akaciko,짧아가지고,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,3
Jalp-asv,짧아서,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,20
Jalp-ato,짧아도,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,3
Jalp-ayo,짧아요,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,5
Jalp-aSki,짧았기,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,3
Jalp-aSkvtxnyo,짧았거든요,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-aSnxnte,짧았는데,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-aStanxn,짧았다는,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,1
Jalp-aStvn,짧았던,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,4
Jalp-aSvyo,짧았어요,,,lp-a,lpa,0,0,NA,NA,0,lC+Vowel,2
Jalp-x,짧으,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,1
Jalp-xmyvn,짧으면,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,8
Jalp-xniga,짧으니까,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,5
Jalp-xl,짧을,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,2
Jalp-xn,짧은,,,lp-x,lpx,0,0,NA,NA,0,lC+Vowel,151
