Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,AffixInitialSegment,UR,JunctureType,Production_R
121,115,606771,option_3,갉나,5,LC,low,kalk,na,kalkna,NA,0,1,0,0,NA,NA,NA,NA
5,146,606771,option_1,갉아,5,LC,low,kalk,a,kalka,0,NA,0,0,NA,NA,NA,NA,NA
59,93,606771,option_4,갉다,5,LC,low,kalk,ta,kalkta,1,NA,1,0,NA,NA,NA,NA,NA
135,1,606771,option_1,겊어,1,C,nonce,kvP,v,kvPv,0,NA,NA,NA,NA,Vowel,P-v,C+Vowel,kvPv
148,124,606771,option_1,겊나,1,C,nonce,kvP,na,kvPna,NA,1,NA,NA,NA,Sonorant,P-n,C+Sonorant,kvmna
44,167,606771,option_2,겊다,1,C,nonce,kvP,ta,kvPta,1,NA,NA,NA,NA,Obstruent,P-t,C+Obstruent,kvpda
77,37,606771,option_4,겳다,1,LC,nonce,kjvlp,ta,kjvlpta,1,NA,1,0,NA,NA,NA,NA,NA
42,59,606771,option_1,겳어,1,LC,nonce,kjvlp,v,kjvlpv,0,NA,0,0,NA,NA,NA,NA,NA
76,163,606771,option_1,겳나,1,LC,nonce,kjvlp,na,kjvlpna,NA,1,1,0,0,NA,NA,NA,NA
1,108,606771,option_2,굵다,5,LC,high,kulk,ta,kulkta,1,NA,0,0,NA,NA,NA,NA,NA
70,104,606771,option_1,굵어,5,LC,high,kulk,v,kulkv,0,NA,0,0,NA,NA,NA,NA,NA
111,27,606771,option_1,굵나,5,LC,high,kulk,na,kulkna,NA,1,1,0,0,NA,NA,NA,NA
142,154,606771,option_1,긁어,5,LC,low,kxlk,v,kxlkv,0,NA,0,0,NA,NA,NA,NA,NA
143,130,606771,option_4,긁다,5,LC,low,kxlk,ta,kxlkta,1,NA,1,0,NA,NA,NA,NA,NA
117,70,606771,option_1,긁나,5,LC,low,kxlk,na,kxlkna,NA,1,1,0,0,NA,NA,NA,NA
129,132,606771,option_4,긆다,1,LC,nonce,kxlP,ta,kxlPta,1,NA,1,0,NA,NA,NA,NA,NA
178,110,606771,option_3,긆나,1,LC,nonce,kxlP,na,kxlPna,NA,0,1,0,0,NA,NA,NA,NA
7,39,606771,option_1,긆어,1,LC,nonce,kxlP,v,kxlPv,0,NA,0,0,NA,NA,NA,NA,NA
6,30,606771,option_3,낡나,5,LC,high,nalk,na,nalkna,NA,0,1,0,0,NA,NA,NA,NA
141,52,606771,option_1,낡아,5,LC,high,nalk,a,nalka,0,NA,0,0,NA,NA,NA,NA,NA
172,15,606771,option_4,낡다,5,LC,high,nalk,ta,nalkta,1,NA,1,0,NA,NA,NA,NA,NA
131,169,606771,option_1,낣아,1,LC,nonce,nalp,a,nalpa,0,NA,0,0,NA,NA,NA,NA,NA
106,160,606771,option_3,낣나,1,LC,nonce,nalp,na,nalpna,NA,0,1,0,0,NA,NA,NA,NA
75,32,606771,option_2,낣다,1,LC,nonce,nalp,ta,nalpta,1,NA,0,0,NA,NA,NA,NA,NA
134,68,606771,option_1,냍어,1,C,nonce,neT,v,neTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,neTv
160,19,606771,option_2,냍다,1,C,nonce,neT,ta,neTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,netda
8,40,606771,option_1,냍나,1,C,nonce,neT,na,neTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,nenna
103,135,606771,option_1,넓나,5,LC,high,nvlp,na,nvlpna,NA,1,1,0,0,NA,NA,NA,NA
130,48,606771,option_1,넓어,5,LC,high,nvlp,v,nvlpv,0,NA,0,0,NA,NA,NA,NA,NA
79,105,606771,option_3,넓다,5,LC,high,nvlp,ta,nvlpta,1,NA,0,1,NA,NA,NA,NA,NA
25,101,606771,option_2,눅나,1,C,nonce,nuk,na,nukna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,nukna
66,61,606771,option_2,눅다,1,C,nonce,nuk,ta,nukta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,nukda
86,69,606771,option_1,눅어,1,C,nonce,nuk,v,nukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,nukv
153,87,606771,option_1,늙어,5,LC,high,nxlk,v,nxlkv,0,NA,0,0,NA,NA,NA,NA,NA
45,20,606771,option_3,늙나,5,LC,high,nxlk,na,nxlkna,NA,0,1,0,0,NA,NA,NA,NA
9,96,606771,option_4,늙다,5,LC,high,nxlk,ta,nxlkta,1,NA,1,0,NA,NA,NA,NA,NA
